Pallet: "pallet_statistics", Extrinsic: "add_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
  860      6727     82.19    1.2%
  870      6851     199.8    2.9%
  880      7290     489.4    6.7%
  890      7981     294.7    3.6%
  900      7425      94.4    1.2%
  910      7383     147.8    2.0%
  920      7341     64.46    0.8%
  930      7274     70.61    0.9%
  940      7270     103.2    1.4%
  950      7342     169.8    2.3%
  960      7607     67.04    0.8%
  970      8054     93.69    1.1%
  980      7857     123.5    1.5%
  990      7965     201.7    2.5%
 1000      7951     149.9    1.8%

Quality and confidence:
param     error
i         0.044

Model:
Time ~=    195.8
    + i    7.819
              µs

Reads = 7 + (0 * i)
Writes = 0 + (1 * i)
