Pallet: "pallet_staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
10,78,67176418,10595,466,2818,265,3
10,78,68111895,9593,466,2818,265,3
10,79,70720437,11177,471,2853,268,3
10,79,69028585,9317,471,2853,268,3
10,79,67567500,9086,471,2853,268,3
10,79,69817008,10570,471,2853,268,3
10,79,65790107,8849,471,2853,268,3
10,80,69840208,10004,476,2888,271,3
10,80,67514883,8883,476,2888,271,3
10,80,66165059,8828,476,2888,271,3
10,80,72209310,12022,476,2888,271,3
10,80,72702967,10682,476,2888,271,3
10,81,70650002,8990,481,2923,274,3
10,81,69095243,8756,481,2923,274,3
10,81,69570193,9526,481,2923,274,3
10,81,70125815,9375,481,2923,274,3
10,81,69091818,9912,481,2923,274,3
10,82,71394027,10392,486,2958,277,3
10,82,71215157,8560,486,2958,277,3
10,82,68413681,9475,486,2958,277,3
10,82,67800486,9456,486,2958,277,3
10,82,73764149,11973,486,2958,277,3
10,83,70699491,10129,491,2993,280,3
10,83,71817029,10321,491,2993,280,3
10,83,73450169,9514,491,2993,280,3
10,83,71690710,9881,491,2993,280,3
10,83,71924479,10234,491,2993,280,3
10,84,72116672,10359,496,3028,283,3
10,84,73194192,9085,496,3028,283,3
10,84,73913948,9445,496,3028,283,3
10,84,77120996,11786,496,3028,283,3
10,84,72884687,11268,496,3028,283,3
10,85,70092520,9199,501,3063,286,3
10,85,69367848,8738,501,3063,286,3
10,85,72303833,11423,501,3063,286,3
10,85,78402505,11411,501,3063,286,3
10,85,81020777,10157,501,3063,286,3
10,86,73189290,8830,506,3098,289,3
10,86,77560586,10210,506,3098,289,3
10,86,74452328,10813,506,3098,289,3
10,86,71887652,9010,506,3098,289,3
10,86,78232671,11832,506,3098,289,3
10,87,145604213,16895,511,3133,292,3
10,87,80678367,10186,511,3133,292,3
10,87,80553155,14516,511,3133,292,3
10,87,80541615,10313,511,3133,292,3
10,87,82801031,12269,511,3133,292,3
10,88,78631144,12206,516,3168,295,3
10,88,81666283,9066,516,3168,295,3
10,88,78244174,12203,516,3168,295,3
10,88,76896101,10946,516,3168,295,3
10,88,79043270,10851,516,3168,295,3
10,89,80023328,10344,521,3203,298,3
10,89,81341938,11412,521,3203,298,3
10,89,77663402,11063,521,3203,298,3
10,89,77699142,10227,521,3203,298,3
10,89,77946564,12048,521,3203,298,3
10,90,80186574,9306,526,3238,301,3
10,90,81494234,10457,526,3238,301,3
10,90,80976498,10971,526,3238,301,3
10,90,81275029,10900,526,3238,301,3
10,90,88213967,12090,526,3238,301,3
10,91,74740098,22972,531,3273,304,3
10,91,69275791,9029,531,3273,304,3
10,91,66192046,10923,531,3273,304,3
10,91,68340926,9689,531,3273,304,3
10,91,67637929,12705,531,3273,304,3
10,92,58702148,11728,536,3308,307,3
10,92,60008702,9945,536,3308,307,3
10,92,59305399,9952,536,3308,307,3
10,92,61416191,8948,536,3308,307,3
10,92,61429402,9717,536,3308,307,3
10,93,62382718,9489,541,3343,310,3
10,93,62477617,10288,541,3343,310,3
10,93,59651514,12071,541,3343,310,3
10,93,60022776,9731,541,3343,310,3
10,93,58855456,9025,541,3343,310,3
10,94,63544702,9278,546,3378,313,3
10,94,63216850,8945,546,3378,313,3
10,94,59564494,10689,546,3378,313,3
10,94,59084144,10910,546,3378,313,3
10,94,59200640,10058,546,3378,313,3
10,95,64119216,10250,551,3413,316,3
10,95,63810493,11356,551,3413,316,3
10,95,65203390,10274,551,3413,316,3
10,95,65558618,9520,551,3413,316,3
10,95,63676826,9462,551,3413,316,3
10,96,69192147,9211,556,3448,319,3
10,96,63036795,10256,556,3448,319,3
10,96,61635742,11007,556,3448,319,3
10,96,62893312,9901,556,3448,319,3
10,96,65089331,12974,556,3448,319,3
10,97,64184742,13578,561,3483,322,3
10,97,62033053,8713,561,3483,322,3
10,97,61865987,22536,561,3483,322,3
10,97,64157262,9296,561,3483,322,3
10,97,64468518,9495,561,3483,322,3
10,98,62440934,9496,566,3518,325,3
10,98,63345700,9555,566,3518,325,3
10,98,64179577,9013,566,3518,325,3
10,98,65566956,13159,566,3518,325,3
10,98,72605608,11497,566,3518,325,3
10,99,68814841,10423,571,3553,328,3
10,99,64327327,9338,571,3553,328,3
10,99,63751296,10565,571,3553,328,3
10,99,65649197,10866,571,3553,328,3
10,99,64529174,10676,571,3553,328,3
10,100,68800279,12284,576,3588,331,3
10,100,62711416,10369,576,3588,331,3
10,100,63670365,11366,576,3588,331,3
10,100,65511617,9896,576,3588,331,3
10,100,67747226,9243,576,3588,331,3

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + v     8728
    + n    831.4
              µs

Reads = 6 + (7 * v) + (5 * n)
Writes = 1 + (3 * v) + (3 * n)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    v     n   mean µs  sigma µs       %
    1   100     301.7     2.225    0.7%
    2   100     12720     502.2    3.9%
    3   100     20690     128.9    0.6%
    4   100     31110     469.8    1.5%
    5   100     41700      1531    3.6%
    6   100     49110     97.13    0.1%
    7   100     56990       210    0.3%
    8   100     68390      1234    1.8%
    9   100     76170      1961    2.5%
   10     1      2711     49.44    1.8%
   10     2      3760     94.32    2.5%
   10     3      4243     91.43    2.1%
   10     4      5118     186.6    3.6%
   10     5      5879     213.7    3.6%
   10     6      6673      99.8    1.4%
   10     7      7557     80.56    1.0%
   10     8      8581     3.252    0.0%
   10     9      8929     92.24    1.0%
   10    10     10530     183.1    1.7%
   10    11     10960       189    1.7%
   10    12     11990     224.5    1.8%
   10    13     12540     230.5    1.8%
   10    14     13720       183    1.3%
   10    15     14780     115.7    0.7%
   10    16     14780     150.7    1.0%
   10    17     16400     145.3    0.8%
   10    18     16910     328.9    1.9%
   10    19     17490     113.9    0.6%
   10    20     18610     244.4    1.3%
   10    21     19130     448.8    2.3%
   10    22     20310     340.7    1.6%
   10    23     21270     127.8    0.6%
   10    24     21760     274.8    1.2%
   10    25     23250     264.8    1.1%
   10    26     23560       127    0.5%
   10    27     24280     119.8    0.4%
   10    28     26040     476.9    1.8%
   10    29     27120     425.9    1.5%
   10    30     26440     245.3    0.9%
   10    31     27000     331.8    1.2%
   10    32     29730     617.5    2.0%
   10    33     29760      1270    4.2%
   10    34     30530     371.9    1.2%
   10    35     30540     365.5    1.1%
   10    36     32330       199    0.6%
   10    37     32770     94.88    0.2%
   10    38     34090     629.6    1.8%
   10    39     35530     422.4    1.1%
   10    40     35750     126.7    0.3%
   10    41     35790     649.7    1.8%
   10    42     36890     406.7    1.1%
   10    43     38470      1187    3.0%
   10    44     38490     446.5    1.1%
   10    45     39660     271.6    0.6%
   10    46     40450     403.4    0.9%
   10    47     41150     212.3    0.5%
   10    48     43680      1270    2.9%
   10    49     43340     386.8    0.8%
   10    50     43200     563.6    1.3%
   10    51     45710     710.3    1.5%
   10    52     46260      1445    3.1%
   10    53     46010     267.7    0.5%
   10    54     47690       731    1.5%
   10    55     48620     690.7    1.4%
   10    56     48950      1058    2.1%
   10    57     50080     750.8    1.4%
   10    58     52000     250.4    0.4%
   10    59     51040     665.1    1.3%
   10    60     52260     342.4    0.6%
   10    61     53000     594.2    1.1%
   10    62     55990      1187    2.1%
   10    63     58260     704.7    1.2%
   10    64     54740       717    1.3%
   10    65     55110     136.2    0.2%
   10    66     60780     455.2    0.7%
   10    67     58600     984.7    1.6%
   10    68     59000       407    0.6%
   10    69     60650     980.2    1.6%
   10    70     59440     691.2    1.1%
   10    71     62890     692.6    1.1%
   10    72     63520      1793    2.8%
   10    73     64080     954.1    1.4%
   10    74     64070     208.4    0.3%
   10    75     65330      1393    2.1%
   10    76     64940     761.9    1.1%
   10    77     67060     318.8    0.4%
   10    78     68690     660.9    0.9%
   10    79     68800     931.9    1.3%
   10    80     69850      1916    2.7%
   10    81     69590     421.1    0.6%
   10    82     70340      1364    1.9%
   10    83     71810     95.53    0.1%
   10    84     73330     431.1    0.5%
   10    85     73590      3514    4.7%
   10    86     75060      1836    2.4%
   10    87     81340      1031    1.2%
   10    88     78630     326.2    0.4%
   10    89     78550      1042    1.3%
   10    90     81240     212.1    0.2%
   10    91     68410     670.8    0.9%
   10    92     60240     877.5    1.4%
   10    93     60680      1209    1.9%
   10    94     60660      1813    2.9%
   10    95     64370     597.2    0.9%
   10    96     63670      1003    1.5%
   10    97     63450      1007    1.5%
   10    98     64360     916.1    1.4%
   10    99     64830     581.4    0.8%
   10   100     65650      1194    1.8%

Quality and confidence:
param     error
v           204
n         10.25

Model:
Time ~=        0
    + v     8314
    + n    749.8
              µs

Reads = 0 + (24 * v) + (5 * n)
Writes = 0 + (13 * v) + (3 * n)
