Pallet: "pallet_asset", Extrinsic: "rename_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
931,41238,1970,7,10,1,2
931,40943,2008,7,10,1,2
931,41365,2009,7,10,1,2
941,40979,2052,7,10,1,2
941,41386,2063,7,10,1,2
941,41038,2063,7,10,1,2
941,41387,2084,7,10,1,2
941,41826,2108,7,10,1,2
951,41118,2137,7,10,1,2
951,41671,2101,7,10,1,2
951,41364,2111,7,10,1,2
951,41166,2066,7,10,1,2
951,40836,2052,7,10,1,2
961,41746,2073,7,10,1,2
961,41941,2094,7,10,1,2
961,42195,2090,7,10,1,2
961,42374,2067,7,10,1,2
961,42435,2104,7,10,1,2
971,41209,2081,7,10,1,2
971,41815,2124,7,10,1,2
971,41198,2103,7,10,1,2
971,41851,2025,7,10,1,2
971,41050,2041,7,10,1,2
981,41688,2036,7,10,1,2
981,41017,2093,7,10,1,2
981,41103,2072,7,10,1,2
981,41513,2111,7,10,1,2
981,41883,2119,7,10,1,2
991,42017,2070,7,10,1,2
991,41838,2067,7,10,1,2
991,40989,2066,7,10,1,2
991,41119,2082,7,10,1,2
991,41453,2099,7,10,1,2
1001,69599,2288,7,10,1,2
1001,41919,2136,7,10,1,2
1001,41842,2091,7,10,1,2
1001,42065,2030,7,10,1,2
1001,41144,2062,7,10,1,2
1011,42073,2063,7,10,1,2
1011,41282,2132,7,10,1,2
1011,41604,2044,7,10,1,2
1011,41440,2072,7,10,1,2
1011,41562,2016,7,10,1,2
1021,41811,2075,7,10,1,2
1021,41313,2080,7,10,1,2
1021,41332,2062,7,10,1,2
1021,41871,2084,7,10,1,2
1021,41773,2160,7,10,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    40.67
    + n        0
              µs

Reads = 7 + (0 * n)
Writes = 1 + (0 * n)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    n   mean µs  sigma µs       %
    1     40.71     0.046    0.1%
   11     40.52     0.112    0.2%
   21     40.52     0.107    0.2%
   31     40.62     0.004    0.0%
   41     40.56     0.091    0.2%
   51     40.83     0.109    0.2%
   61     40.58     0.121    0.2%
   71     40.52     0.146    0.3%
   81     40.55     0.079    0.1%
   91     40.74     0.214    0.5%
  101     40.59     0.069    0.1%
  111     40.77     0.268    0.6%
  121     40.69     0.115    0.2%
  131     40.78     0.106    0.2%
  141     40.75     0.113    0.2%
