Pallet: "pallet_portfolio", Extrinsic: "create_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
405,123260,4291,8,8,2,2
405,142235,4879,8,8,2,2
405,123075,4321,8,8,2,2
405,123697,4301,8,8,2,2
409,122536,4116,8,8,2,2
409,140193,4280,8,8,2,2
409,121678,3955,8,8,2,2
409,145450,4244,8,8,2,2
409,125040,4181,8,8,2,2
413,123854,4209,8,8,2,2
413,143119,4873,8,8,2,2
413,124471,4277,8,8,2,2
413,142518,4914,8,8,2,2
413,165474,4387,8,8,2,2
417,138079,4355,8,8,2,2
417,123707,4225,8,8,2,2
417,123551,4296,8,8,2,2
417,139302,4861,8,8,2,2
417,143902,4803,8,8,2,2
421,144395,4329,8,8,2,2
421,123911,4182,8,8,2,2
421,143091,4824,8,8,2,2
421,125057,4251,8,8,2,2
421,142886,4724,8,8,2,2
425,159333,4893,8,8,2,2
425,123921,4219,8,8,2,2
425,123348,4216,8,8,2,2
425,122990,4166,8,8,2,2
425,122658,4119,8,8,2,2
429,124846,4210,8,8,2,2
429,123391,4091,8,8,2,2
429,123367,4103,8,8,2,2
429,123350,4125,8,8,2,2
429,133894,4117,8,8,2,2
433,122913,4285,8,8,2,2
433,126907,4381,8,8,2,2
433,125303,4294,8,8,2,2
433,124545,4301,8,8,2,2
433,142690,4649,8,8,2,2
437,143108,5019,8,8,2,2
437,123771,4094,8,8,2,2
437,140558,4888,8,8,2,2
437,123754,4088,8,8,2,2
437,123467,4212,8,8,2,2
441,123204,4226,8,8,2,2
441,123607,4229,8,8,2,2
441,116209,4053,8,8,2,2
441,143207,4727,8,8,2,2
441,123888,3994,8,8,2,2
445,124145,4094,8,8,2,2
445,123795,4228,8,8,2,2
445,123724,4153,8,8,2,2
445,123960,4126,8,8,2,2
445,124350,4224,8,8,2,2
449,152531,4232,8,8,2,2
449,123852,4134,8,8,2,2
449,137717,4183,8,8,2,2
449,123066,4117,8,8,2,2
449,123790,4202,8,8,2,2
453,147224,4226,8,8,2,2
453,123506,4030,8,8,2,2
453,143387,4748,8,8,2,2
453,143457,4879,8,8,2,2
453,144529,4863,8,8,2,2
