Pallet: "pallet_settlement", Extrinsic: "create_venue", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
91909,50,112853,2434,8,8,53,2
91909,50,110867,2327,8,8,53,2
91909,50,112065,2301,8,8,53,2
91909,50,111809,2290,8,8,53,2
91909,50,111774,2303,8,8,53,2
92908,50,112770,2474,8,8,53,2
92908,50,111656,2364,8,8,53,2
92908,50,115623,2337,8,8,53,2
92908,50,112365,2390,8,8,53,2
92908,50,111615,2390,8,8,53,2
93907,50,111878,2386,8,8,53,2
93907,50,111390,2301,8,8,53,2
93907,50,111781,2305,8,8,53,2
93907,50,112910,2377,8,8,53,2
93907,50,112117,2366,8,8,53,2
94906,50,112540,2444,8,8,53,2
94906,50,112621,2417,8,8,53,2
94906,50,113178,2496,8,8,53,2
94906,50,112968,2345,8,8,53,2
94906,50,111807,2350,8,8,53,2
95905,50,112233,2419,8,8,53,2
95905,50,112119,2417,8,8,53,2
95905,50,112047,2384,8,8,53,2
95905,50,113624,2333,8,8,53,2
95905,50,118074,2400,8,8,53,2
96904,50,112493,2404,8,8,53,2
96904,50,113664,2294,8,8,53,2
96904,50,112984,2309,8,8,53,2
96904,50,113158,2287,8,8,53,2
96904,50,112371,2350,8,8,53,2
97903,50,115308,2405,8,8,53,2
97903,50,116040,2367,8,8,53,2
97903,50,115586,2341,8,8,53,2
97903,50,115499,2393,8,8,53,2
97903,50,115797,2317,8,8,53,2
98902,50,116798,2424,8,8,53,2
98902,50,115375,2356,8,8,53,2
98902,50,114722,2412,8,8,53,2
98902,50,116168,2336,8,8,53,2
98902,50,116024,2407,8,8,53,2
99901,50,116503,2400,8,8,53,2
99901,50,116666,2485,8,8,53,2
99901,50,116143,2395,8,8,53,2
99901,50,117351,2251,8,8,53,2
99901,50,116452,2382,8,8,53,2
100000,0,61383,2145,8,8,3,2
100000,0,61282,2100,8,8,3,2
100000,0,60755,2059,8,8,3,2
100000,0,60592,2105,8,8,3,2
100000,0,60449,2102,8,8,3,2
100000,1,62264,2183,8,8,4,2
100000,1,62568,2145,8,8,4,2
100000,1,62887,2078,8,8,4,2
100000,1,62108,2135,8,8,4,2
100000,1,63068,1988,8,8,4,2
100000,2,63263,2156,8,8,5,2
100000,2,63641,2135,8,8,5,2
100000,2,64597,2104,8,8,5,2
100000,2,63659,2064,8,8,5,2
100000,2,63144,2103,8,8,5,2
100000,3,64862,2149,8,8,6,2
100000,3,64286,2209,8,8,6,2
100000,3,64544,2148,8,8,6,2
100000,3,64714,2146,8,8,6,2
100000,3,64261,2192,8,8,6,2
100000,4,66993,2265,8,8,7,2
100000,4,66711,2208,8,8,7,2
100000,4,66417,2217,8,8,7,2
100000,4,67232,2233,8,8,7,2
100000,4,66443,2176,8,8,7,2
100000,5,68208,2184,8,8,8,2
