Pallet: "pallet_capital_distribution", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,480,1275931,7983,31,22,11,2
1000,480,1144534,7008,31,22,11,2
1000,500,1166615,7208,31,22,11,2
1000,500,1274552,7395,31,22,11,2
1000,500,1227577,6808,31,22,11,2
1000,500,1298196,8266,31,22,11,2
1000,500,1368994,7602,31,22,11,2
1000,520,1195483,7951,31,22,11,2
1000,520,1184415,7439,31,22,11,2
1000,520,1416779,8103,31,22,11,2
1000,520,1298833,7500,31,22,11,2
1000,520,1362648,7330,31,22,11,2
1000,540,1350638,7820,31,22,11,2
1000,540,1277974,7840,31,22,11,2
1000,540,1323981,7471,31,22,11,2
1000,540,1260536,7397,31,22,11,2
1000,540,1158097,6905,31,22,11,2
1000,560,1331392,8054,31,22,11,2
1000,560,1313097,8301,31,22,11,2
1000,560,1226660,7315,31,22,11,2
1000,560,1422775,8042,31,22,11,2
1000,560,1251424,7143,31,22,11,2
1000,580,1276423,6827,31,22,11,2
1000,580,1230833,6953,31,22,11,2
1000,580,1277417,8101,31,22,11,2
1000,580,1178442,6874,31,22,11,2
1000,580,1306661,8023,31,22,11,2
1000,600,1200320,6641,31,22,11,2
1000,600,1348733,7035,31,22,11,2
1000,600,1269945,7166,31,22,11,2
1000,600,1342745,7329,31,22,11,2
1000,600,1360759,7525,31,22,11,2
1000,620,1276957,8512,31,22,11,2
1000,620,1214085,6738,31,22,11,2
1000,620,1178143,6945,31,22,11,2
1000,620,1299952,6842,31,22,11,2
1000,620,1381882,7746,31,22,11,2
1000,640,1366417,7932,31,22,11,2
1000,640,1200163,6896,31,22,11,2
1000,640,1311942,7835,31,22,11,2
1000,640,1411402,7948,31,22,11,2
1000,640,1243203,8030,31,22,11,2
1000,660,1288555,7585,31,22,11,2
1000,660,1337120,7900,31,22,11,2
1000,660,1473732,28975,31,22,11,2
1000,660,1312201,7433,31,22,11,2
1000,660,1319726,7391,31,22,11,2
1000,680,1344767,7836,31,22,11,2
1000,680,2090563,11120,31,22,11,2
1000,680,1357093,7996,31,22,11,2
1000,680,1406044,8083,31,22,11,2
1000,680,1266671,6771,31,22,11,2
1000,700,1308409,7803,31,22,11,2
1000,700,1350864,7926,31,22,11,2
1000,700,1219440,7028,31,22,11,2
1000,700,1186241,7059,31,22,11,2
1000,700,1310359,8224,31,22,11,2
1000,720,1244816,7290,31,22,11,2
1000,720,1240367,7389,31,22,11,2
1000,720,1222799,7549,31,22,11,2
1000,720,1315813,6952,31,22,11,2
1000,720,2673639,14056,31,22,11,2
