Pallet: "pallet_capital_distribution", Extrinsic: "push_benefit", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
  380  1000      1103      19.9    1.8%
  400  1000      1048     14.65    1.3%
  420  1000      1170     58.57    5.0%
  440  1000      1133     34.86    3.0%
  460  1000      1134     39.66    3.4%
  480  1000      1158     19.51    1.6%
  500  1000      1200     54.67    4.5%
  520  1000      1210     78.75    6.5%
  540  1000      1173     20.16    1.7%
  560  1000      1126     32.57    2.8%
  580  1000      1173     52.31    4.4%
  600  1000      1149     22.45    1.9%
  620  1000      1160     22.97    1.9%
  640  1000      1200     7.335    0.6%
  660  1000      1299      36.4    2.8%
  680  1000      1246     44.77    3.5%
  700  1000      1283     47.14    3.6%
  720  1000      1314     9.168    0.6%
  740  1000      1401     20.58    1.4%
  760  1000      1299     8.593    0.6%
  780  1000      1421     80.19    5.6%
  800  1000      1428     44.75    3.1%
  820  1000      1357     97.72    7.1%
  840  1000      1345     64.65    4.8%
  860  1000      1403     35.42    2.5%
  880  1000      1347      4.56    0.3%
  900  1000      1364     13.62    0.9%
  920  1000      1446     64.62    4.4%
  940  1000      1405     15.63    1.1%
  960  1000      1374     33.91    2.4%
  980  1000      1519     16.85    1.1%
 1000     0      1193     21.22    1.7%
 1000    20      1219     31.61    2.5%
 1000    40      1122     21.32    1.9%
 1000    60      1188      41.9    3.5%
 1000    80      1184     19.97    1.6%
 1000   100      1210     25.21    2.0%
 1000   120      1218     15.19    1.2%
 1000   140      1195     19.95    1.6%
 1000   160      1291     27.68    2.1%
 1000   180      1341     11.17    0.8%
 1000   200      1180     27.87    2.3%
 1000   220      1174     37.11    3.1%
 1000   240      1205      6.67    0.5%
 1000   260      1314     13.96    1.0%
 1000   280      1278     53.92    4.2%
 1000   300      1168      12.5    1.0%
 1000   320      1273     32.33    2.5%
 1000   340      1369     50.45    3.6%
 1000   360      1281     41.44    3.2%
 1000   380      1318     98.59    7.4%
 1000   400      1291     40.37    3.1%
 1000   420      1299     48.81    3.7%
