Pallet: "pallet_pips", Extrinsic: "enact_snapshot_results", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,r,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
33,33,9,752412936,30679,14149,15348,14145,2
33,33,9,693959817,21542,14149,15348,14145,2
33,33,9,695926898,22790,14149,15348,14145,2
33,33,9,727434379,21338,14149,15348,14145,2
33,33,10,710640490,21562,14150,15750,14146,2
33,33,10,712948118,22621,14150,15750,14146,2
33,33,10,680368069,38789,14150,15750,14146,2
33,33,10,681588584,20758,14150,15750,14146,2
33,33,10,685579741,21948,14150,15750,14146,2
33,33,11,746613927,21480,14151,15752,14147,2
33,33,11,667306101,21785,14151,15752,14147,2
33,33,11,670771279,21467,14151,15752,14147,2
33,33,11,694666853,21779,14151,15752,14147,2
33,33,11,691530678,23001,14151,15752,14147,2
33,33,12,674758002,21439,14152,16554,14148,2
33,33,12,676018450,20449,14152,16554,14148,2
33,33,12,669163565,23412,14152,16554,14148,2
33,33,12,677357236,39571,14152,16554,14148,2
33,33,12,670720761,21037,14152,16554,14148,2
33,33,13,804590419,35683,14153,16156,14149,2
33,33,13,670945664,20389,14153,16156,14149,2
33,33,13,705472031,21246,14153,16156,14149,2
33,33,13,668786444,22699,14153,16156,14149,2
33,33,13,669168315,30890,14153,16156,14149,2
33,33,14,732965558,22673,14154,16158,14150,2
33,33,14,697154027,37150,14154,16158,14150,2
33,33,14,686145378,21384,14154,16158,14150,2
33,33,14,757995630,21769,14154,16158,14150,2
33,33,14,717605054,19815,14154,16158,14150,2
33,33,15,680744492,24028,14155,16160,14151,2
33,33,15,674935119,24132,14155,16160,14151,2
33,33,15,710890037,22790,14155,16160,14151,2
33,33,15,704295078,24582,14155,16160,14151,2
33,33,15,679424103,22879,14155,16160,14151,2
33,33,16,721048500,26577,14156,17362,14152,2
33,33,16,685220118,20471,14156,17362,14152,2
33,33,16,689691358,20963,14156,17362,14152,2
33,33,16,712584616,21438,14156,17362,14152,2
33,33,16,699357605,21472,14156,17362,14152,2
33,33,17,742056590,21584,14157,17364,14153,2
33,33,17,758080258,20508,14157,17364,14153,2
33,33,17,779350590,24591,14157,17364,14153,2
33,33,17,716956776,24576,14157,17364,14153,2
33,33,17,715963424,22717,14157,17364,14153,2
33,33,18,693727227,36104,14158,17366,14154,2
33,33,18,745311892,19378,14158,17366,14154,2
33,33,18,686249567,32375,14158,17366,14154,2
33,33,18,719248118,23105,14158,17366,14154,2
33,33,18,700571617,22590,14158,17366,14154,2
33,33,19,685629591,20717,14159,16168,14155,2
33,33,19,697561903,23725,14159,16168,14155,2
33,33,19,685849762,21163,14159,16168,14155,2
33,33,19,691411878,22385,14159,16168,14155,2
33,33,19,720089222,23275,14159,16168,14155,2
33,33,20,733034210,24657,14160,16970,14156,2
33,33,20,690880689,21045,14160,16970,14156,2
33,33,20,691817798,20806,14160,16970,14156,2
33,33,20,706263699,21726,14160,16970,14156,2
33,33,20,734096321,23011,14160,16970,14156,2
33,33,21,712037572,24333,14161,15772,14157,2
33,33,21,899554237,23812,14161,15772,14157,2
33,33,21,678721815,25373,14161,15772,14157,2
33,33,21,694389621,22654,14161,15772,14157,2
33,33,21,728239276,22637,14161,15772,14157,2
33,33,22,715956645,24315,14162,15774,14158,2
33,33,22,687380659,20616,14162,15774,14158,2
33,33,22,687255111,21014,14162,15774,14158,2
33,33,22,709422424,33427,14162,15774,14158,2
33,33,22,702776389,22369,14162,15774,14158,2
33,33,23,693684090,21743,14163,16576,14159,2
33,33,23,685483725,31398,14163,16576,14159,2
33,33,23,690544860,21233,14163,16576,14159,2
33,33,23,723686461,22714,14163,16576,14159,2
33,33,23,702787328,28817,14163,16576,14159,2
33,33,24,700602239,21525,14164,15378,14160,2
33,33,24,688862948,21230,14164,15378,14160,2
33,33,24,710891470,22540,14164,15378,14160,2
33,33,24,702435653,21170,14164,15378,14160,2
33,33,24,697594321,22318,14164,15378,14160,2
33,33,25,714762247,23274,14165,16980,14161,2
33,33,25,697751538,20755,14165,16980,14161,2
33,33,25,694874110,21519,14165,16980,14161,2
33,33,25,700389061,25278,14165,16980,14161,2
33,33,25,770275372,25483,14165,16980,14161,2
33,33,26,700574003,24821,14166,16982,14162,2
33,33,26,723346294,37198,14166,16982,14162,2
33,33,26,712138040,25658,14166,16982,14162,2
33,33,26,699707853,22775,14166,16982,14162,2
33,33,26,804728797,23798,14166,16982,14162,2
33,33,27,760041150,34027,14167,16984,14163,2
33,33,27,700366359,22424,14167,16984,14163,2
33,33,27,712022348,99534,14167,16984,14163,2
33,33,27,695548962,20414,14167,16984,14163,2
33,33,27,771082214,20932,14167,16984,14163,2
33,33,28,719359188,20967,14168,16986,14164,2
33,33,28,714583832,23937,14168,16986,14164,2
33,33,28,717077564,26553,14168,16986,14164,2
33,33,28,735896677,23637,14168,16986,14164,2
33,33,28,754622710,20014,14168,16986,14164,2
33,33,29,700939873,21503,14169,16988,14165,2
33,33,29,711359307,22087,14169,16988,14165,2
33,33,29,786180857,23985,14169,16988,14165,2
33,33,29,709216775,29522,14169,16988,14165,2
33,33,29,749192572,22460,14169,16988,14165,2
33,33,30,688875451,36918,14170,16990,14166,2
33,33,30,703846609,23560,14170,16990,14166,2
33,33,30,725182385,23298,14170,16990,14166,2
33,33,30,749011620,22509,14170,16990,14166,2
33,33,30,683580116,20895,14170,16990,14166,2
33,33,31,733487506,21453,14171,16592,14167,2
33,33,31,686629830,19915,14171,16592,14167,2
33,33,31,693660202,21501,14171,16592,14167,2
33,33,31,684017883,31099,14171,16592,14167,2
33,33,31,726298490,23894,14171,16592,14167,2
33,33,32,713108782,33537,14172,16194,14168,2
33,33,32,730836117,22830,14172,16194,14168,2
33,33,32,697296829,22048,14172,16194,14168,2
33,33,32,724704692,36144,14172,16194,14168,2
33,33,32,704454249,40447,14172,16194,14168,2
33,33,33,703904502,21628,14173,16196,14169,2
33,33,33,683382204,21656,14173,16196,14169,2
33,33,33,692139036,23058,14173,16196,14169,2
33,33,33,738200548,22195,14173,16196,14169,2
33,33,33,688854086,22034,14173,16196,14169,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + a    754.5
    + r    21410
    + s    461.8
              µs

Reads = 808 + (2 * a) + (402 * r) + (1 * s)
Writes = 804 + (3 * a) + (401 * r) + (1 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    a     r     s   mean µs  sigma µs       %
    0    33    33    686000      4157    0.6%
    1    33    33    708200     16790    2.3%
    2    33    33    703900      6625    0.9%
    3    33    33    712300      4407    0.6%
    4    33    33    698700     13000    1.8%
    5    33    33    684000      5547    0.8%
    6    33    33    702100     27160    3.8%
    7    33    33    679700      4178    0.6%
    8    33    33    688600      7186    1.0%
    9    33    33    690500      8803    1.2%
   10    33    33    697200      3950    0.5%
   11    33    33    680800      5831    0.8%
   12    33    33    703600      4340    0.6%
   13    33    33    712200      1053    0.1%
   14    33    33    707500      5845    0.8%
   15    33    33    682700     11470    1.6%
   16    33    33    701800      9710    1.3%
   17    33    33    704900     20870    2.9%
   18    33    33    718800     19320    2.6%
   19    33    33    708600      5383    0.7%
   20    33    33    746800      4004    0.5%
   21    33    33    718500     14930    2.0%
   22    33    33    714200      1730    0.2%
   23    33    33    740900      5691    0.7%
   24    33    33    707900      5071    0.7%
   25    33    33    693900      7996    1.1%
   26    33    33    713100      4502    0.6%
   27    33    33    735400     43940    5.9%
   28    33    33    702700     10100    1.4%
   29    33    33    733800     22760    3.1%
   30    33    33    703500      9745    1.3%
   31    33    33    744300      5879    0.7%
   32    33    33    700500      3794    0.5%
   33     0    33      8365     131.3    1.5%
   33     1    33     33900     201.3    0.5%
   33     2    33     53730      2076    3.8%
   33     3    33     72260      2792    3.8%
   33     4    33     90600     242.9    0.2%
   33     5    33    109700      1041    0.9%
   33     6    33    130000       918    0.7%
   33     7    33    149400      1160    0.7%
   33     8    33    172200      6256    3.6%
   33     9    33    184000      1563    0.8%
   33    10    33    204300      1704    0.8%
   33    11    33    230500      3281    1.4%
   33    12    33    250900      3836    1.5%
   33    13    33    270700      4503    1.6%
   33    14    33    294500      6157    2.0%
   33    15    33    312500      8791    2.8%
   33    16    33    325100      8687    2.6%
