Pallet: "pallet_staking", Extrinsic: "submit_solution_better", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1630,2000,500,100,103867241,11451,2106,16406,2,2
1640,2000,500,100,95212592,12199,2106,16406,2,2
1640,2000,500,100,100328953,13647,2106,16406,2,2
1640,2000,500,100,97689652,13014,2106,16406,2,2
1640,2000,500,100,96242899,14502,2106,16406,2,2
1640,2000,500,100,96928258,13569,2106,16406,2,2
1650,2000,500,100,98699254,11979,2106,16406,2,2
1650,2000,500,100,97381549,11510,2106,16406,2,2
1650,2000,500,100,99686106,10270,2106,16406,2,2
1650,2000,500,100,96877628,11141,2106,16406,2,2
1650,2000,500,100,94502915,10626,2106,16406,2,2
1660,2000,500,100,94946684,17900,2106,16406,2,2
1660,2000,500,100,96382803,11595,2106,16406,2,2
1660,2000,500,100,100322900,12472,2106,16406,2,2
1660,2000,500,100,101887803,12149,2106,16406,2,2
1660,2000,500,100,94845333,10635,2106,16406,2,2
1670,2000,500,100,94303563,21989,2106,16406,2,2
1670,2000,500,100,99810317,13855,2106,16406,2,2
1670,2000,500,100,93627529,12723,2106,16406,2,2
1670,2000,500,100,96709266,12135,2106,16406,2,2
1670,2000,500,100,94882615,11153,2106,16406,2,2
1680,2000,500,100,96938244,12798,2106,16406,2,2
1680,2000,500,100,95259256,11185,2106,16406,2,2
1680,2000,500,100,97226150,12476,2106,16406,2,2
1680,2000,500,100,102919638,13099,2106,16406,2,2
1680,2000,500,100,96286241,10166,2106,16406,2,2
1690,2000,500,100,96137265,11206,2106,16406,2,2
1690,2000,500,100,97970069,10892,2106,16406,2,2
1690,2000,500,100,97573706,11720,2106,16406,2,2
1690,2000,500,100,95630777,10716,2106,16406,2,2
1690,2000,500,100,94830955,10478,2106,16406,2,2
1700,2000,500,100,94719118,10868,2106,16406,2,2
1700,2000,500,100,98332918,14641,2106,16406,2,2
1700,2000,500,100,94454810,10720,2106,16406,2,2
1700,2000,500,100,94547060,10768,2106,16406,2,2
1700,2000,500,100,93465608,11777,2106,16406,2,2
1710,2000,500,100,93806430,11286,2106,16406,2,2
1710,2000,500,100,94239928,10921,2106,16406,2,2
1710,2000,500,100,95491216,12686,2106,16406,2,2
1710,2000,500,100,94319183,11126,2106,16406,2,2
1710,2000,500,100,96226426,13116,2106,16406,2,2
1720,2000,500,100,97935348,10958,2106,16406,2,2
1720,2000,500,100,94135600,17506,2106,16406,2,2
1720,2000,500,100,100161127,13090,2106,16406,2,2
1720,2000,500,100,95309309,12841,2106,16406,2,2
1720,2000,500,100,94360713,11371,2106,16406,2,2
1730,2000,500,100,95497378,10157,2106,16406,2,2
1730,2000,500,100,94584045,10865,2106,16406,2,2
1730,2000,500,100,97201534,12030,2106,16406,2,2
1730,2000,500,100,95810216,10529,2106,16406,2,2
1730,2000,500,100,94023447,11607,2106,16406,2,2
1740,2000,500,100,106056140,10151,2106,16406,2,2
1740,2000,500,100,93890289,10894,2106,16406,2,2
1740,2000,500,100,96205496,11560,2106,16406,2,2
1740,2000,500,100,95338360,10306,2106,16406,2,2
1740,2000,500,100,100502126,14902,2106,16406,2,2
1750,2000,500,100,96946346,13194,2106,16406,2,2
1750,2000,500,100,105110600,12527,2106,16406,2,2
1750,2000,500,100,92962648,10828,2106,16406,2,2
1750,2000,500,100,95705109,11962,2106,16406,2,2
1750,2000,500,100,94719347,11898,2106,16406,2,2
1760,2000,500,100,95208893,19993,2106,16406,2,2
1760,2000,500,100,95438681,21620,2106,16406,2,2
