Pallet: "pallet_portfolio", Extrinsic: "move_portfolio_funds", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
301,4369834,2936,911,909,602,2
301,4356797,2717,911,909,602,2
305,4353067,2734,923,921,610,2
305,4293263,2779,923,921,610,2
305,4265827,2816,923,921,610,2
305,4257831,2673,923,921,610,2
305,4248344,2791,923,921,610,2
309,4420393,2812,935,933,618,2
309,4421336,2817,935,933,618,2
309,4427261,2697,935,933,618,2
309,4412704,2705,935,933,618,2
309,4385857,2656,935,933,618,2
313,4510441,2692,947,945,626,2
313,4471339,2666,947,945,626,2
313,4489208,2692,947,945,626,2
313,4502736,2941,947,945,626,2
313,4492782,2746,947,945,626,2
317,4512178,2882,959,957,634,2
317,4486672,2666,959,957,634,2
317,4482164,2818,959,957,634,2
317,4500503,2713,959,957,634,2
317,4520978,2687,959,957,634,2
321,4531137,2664,971,969,642,2
321,4534827,2756,971,969,642,2
321,4513696,2799,971,969,642,2
321,4537593,2770,971,969,642,2
321,4505401,2703,971,969,642,2
325,4620071,2670,983,981,650,2
325,4650236,2675,983,981,650,2
325,4588053,2821,983,981,650,2
325,4616547,2707,983,981,650,2
325,4653188,2775,983,981,650,2
329,4697960,2717,995,993,658,2
329,4673867,2804,995,993,658,2
329,4668388,2838,995,993,658,2
329,4666462,2683,995,993,658,2
329,4708978,2783,995,993,658,2
333,4755245,2771,1007,1005,666,2
333,4750290,2741,1007,1005,666,2
333,4729651,2829,1007,1005,666,2
333,4726712,2695,1007,1005,666,2
333,4761527,2718,1007,1005,666,2
337,4692362,2713,1019,1017,674,2
337,4869336,2824,1019,1017,674,2
337,4729935,2846,1019,1017,674,2
337,4682247,2734,1019,1017,674,2
337,4701263,2714,1019,1017,674,2
341,4815436,2755,1031,1029,682,2
341,4826183,2701,1031,1029,682,2
341,4856702,3027,1031,1029,682,2
341,4914093,2853,1031,1029,682,2
341,4871092,2866,1031,1029,682,2
345,4823918,2766,1043,1041,690,2
345,4764558,2688,1043,1041,690,2
345,4847382,2651,1043,1041,690,2
345,4821144,2784,1043,1041,690,2
345,4820257,2647,1043,1041,690,2
349,4940358,2809,1055,1053,698,2
349,5135962,3583,1055,1053,698,2
349,5000636,2850,1055,1053,698,2
349,5000596,2979,1055,1053,698,2
349,4938014,2927,1055,1053,698,2
353,5032779,3052,1067,1065,706,2
353,5044542,2813,1067,1065,706,2
353,5041602,2798,1067,1065,706,2
353,5055211,2905,1067,1065,706,2
353,5108128,2875,1067,1065,706,2
357,5062051,2810,1079,1077,714,2
357,5043480,2696,1079,1077,714,2
357,5145321,2845,1079,1077,714,2
357,5288500,2776,1079,1077,714,2
357,5055081,2725,1079,1077,714,2
361,5178851,2842,1091,1089,722,2
361,5145407,2802,1091,1089,722,2
361,5105318,2818,1091,1089,722,2
361,5270209,2854,1091,1089,722,2
361,5131232,2685,1091,1089,722,2
365,5211566,2767,1103,1101,730,2
365,5211357,2740,1103,1101,730,2
365,5185818,2629,1103,1101,730,2
365,5197875,2742,1103,1101,730,2
365,5172804,2817,1103,1101,730,2
369,5329790,3252,1115,1113,738,2
369,5216431,2742,1115,1113,738,2
369,5220613,2877,1115,1113,738,2
369,5311561,3635,1115,1113,738,2
369,5276686,2861,1115,1113,738,2
373,5334895,2825,1127,1125,746,2
373,5252241,2735,1127,1125,746,2
373,5342299,2930,1127,1125,746,2
373,5320744,2838,1127,1125,746,2
373,5349424,2919,1127,1125,746,2
377,5299850,2804,1139,1137,754,2
377,5277496,2833,1139,1137,754,2
377,5340843,2733,1139,1137,754,2
377,5306297,3223,1139,1137,754,2
377,5337650,2724,1139,1137,754,2
381,5324830,2779,1151,1149,762,2
381,5342852,2816,1151,1149,762,2
381,5316603,2798,1151,1149,762,2
381,5326642,2795,1151,1149,762,2
381,5301740,2761,1151,1149,762,2
385,5495818,2802,1163,1161,770,2
385,5490775,2641,1163,1161,770,2
385,5476493,2822,1163,1161,770,2
385,5525205,2963,1163,1161,770,2
385,5492673,2793,1163,1161,770,2
389,5479855,2860,1175,1173,778,2
389,5553979,2785,1175,1173,778,2
389,5522983,2773,1175,1173,778,2
389,5492971,2795,1175,1173,778,2
389,5488200,2644,1175,1173,778,2
393,5473037,2814,1187,1185,786,2
393,5438712,2770,1187,1185,786,2
393,5502697,2879,1187,1185,786,2
393,5466642,2823,1187,1185,786,2
393,5467557,2679,1187,1185,786,2
397,5596706,2735,1199,1197,794,2
397,5651163,2942,1199,1197,794,2
397,5658318,2845,1199,1197,794,2
397,5587828,2763,1199,1197,794,2
397,5558451,2740,1199,1197,794,2
401,5726701,2695,1211,1209,802,2
401,5699368,2777,1211,1209,802,2
401,5713769,2820,1211,1209,802,2
401,5706599,2698,1211,1209,802,2
401,5702799,2755,1211,1209,802,2
405,5733189,2779,1223,1221,810,2
405,5772294,2762,1223,1221,810,2
405,5747231,2790,1223,1221,810,2
405,5735594,2771,1223,1221,810,2
405,5805183,2835,1223,1221,810,2
409,5805777,2692,1235,1233,818,2
409,5780010,2681,1235,1233,818,2
409,5782211,2675,1235,1233,818,2
409,5797835,2701,1235,1233,818,2
409,5769642,2640,1235,1233,818,2
413,5891395,2675,1247,1245,826,2
413,5855240,2788,1247,1245,826,2
413,5845075,2768,1247,1245,826,2
413,5889994,2774,1247,1245,826,2
413,5907546,2711,1247,1245,826,2
417,6053742,3368,1259,1257,834,2
417,5944511,2851,1259,1257,834,2
417,5854067,2783,1259,1257,834,2
417,5860683,2966,1259,1257,834,2
417,5831387,2884,1259,1257,834,2
421,5984977,2881,1271,1269,842,2
421,5882211,2776,1271,1269,842,2
421,5910594,2867,1271,1269,842,2
421,5894104,2960,1271,1269,842,2
421,5946526,2820,1271,1269,842,2
425,5964273,2786,1283,1281,850,2
425,6011634,2823,1283,1281,850,2
425,5939733,2840,1283,1281,850,2
425,5953784,2800,1283,1281,850,2
425,5956433,2958,1283,1281,850,2
429,6000666,2795,1295,1293,858,2
429,5989433,2794,1295,1293,858,2
429,6018596,2684,1295,1293,858,2
429,6051623,2773,1295,1293,858,2
429,6037407,2792,1295,1293,858,2
433,6156558,2828,1307,1305,866,2
433,6173398,2971,1307,1305,866,2
433,6105950,2794,1307,1305,866,2
