Pallet: "pallet_staking", Extrinsic: "submit_solution_initial", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1530,2000,500,100,99785988,11027,2106,16406,2,2
1530,2000,500,100,103649338,12064,2106,16406,2,2
1530,2000,500,100,106819597,12260,2106,16406,2,2
1530,2000,500,100,107324268,12389,2106,16406,2,2
1530,2000,500,100,98387992,15574,2106,16406,2,2
1540,2000,500,100,97877430,19947,2106,16406,2,2
1540,2000,500,100,99996738,23701,2106,16406,2,2
1540,2000,500,100,99946803,12688,2106,16406,2,2
1540,2000,500,100,95685049,11479,2106,16406,2,2
1540,2000,500,100,102515157,12085,2106,16406,2,2
1550,2000,500,100,108505594,9721,2106,16406,2,2
1550,2000,500,100,105395051,11219,2106,16406,2,2
1550,2000,500,100,101442474,12705,2106,16406,2,2
1550,2000,500,100,96986720,9434,2106,16406,2,2
1550,2000,500,100,100870047,9636,2106,16406,2,2
1560,2000,500,100,98158931,12520,2106,16406,2,2
1560,2000,500,100,98782732,11034,2106,16406,2,2
1560,2000,500,100,159823017,12422,2106,16406,2,2
1560,2000,500,100,99372812,12857,2106,16406,2,2
1560,2000,500,100,97775521,11444,2106,16406,2,2
1570,2000,500,100,100097199,14193,2106,16406,2,2
1570,2000,500,100,98869242,13041,2106,16406,2,2
1570,2000,500,100,95312884,12986,2106,16406,2,2
1570,2000,500,100,97823914,11895,2106,16406,2,2
1570,2000,500,100,107441014,13764,2106,16406,2,2
1580,2000,500,100,99706265,25608,2106,16406,2,2
1580,2000,500,100,99700911,13535,2106,16406,2,2
1580,2000,500,100,102608707,12073,2106,16406,2,2
1580,2000,500,100,99463049,12040,2106,16406,2,2
1580,2000,500,100,102533558,19108,2106,16406,2,2
1590,2000,500,100,99493307,13576,2106,16406,2,2
1590,2000,500,100,102740736,11669,2106,16406,2,2
1590,2000,500,100,103328470,12799,2106,16406,2,2
1590,2000,500,100,99296375,13767,2106,16406,2,2
1590,2000,500,100,96972786,11404,2106,16406,2,2
1600,2000,500,100,97127924,12112,2106,16406,2,2
1600,2000,500,100,101165134,11611,2106,16406,2,2
1600,2000,500,100,101076580,12426,2106,16406,2,2
1600,2000,500,100,101039891,12158,2106,16406,2,2
1600,2000,500,100,99335264,13151,2106,16406,2,2
1610,2000,500,100,99972385,13562,2106,16406,2,2
1610,2000,500,100,107569035,13530,2106,16406,2,2
1610,2000,500,100,97826962,13187,2106,16406,2,2
1610,2000,500,100,100506553,12520,2106,16406,2,2
1610,2000,500,100,100702039,11359,2106,16406,2,2
1620,2000,500,100,96668298,13398,2106,16406,2,2
1620,2000,500,100,100125371,13099,2106,16406,2,2
1620,2000,500,100,102945475,14257,2106,16406,2,2
1620,2000,500,100,99849430,12592,2106,16406,2,2
1620,2000,500,100,101229826,12791,2106,16406,2,2
1630,2000,500,100,99555576,14916,2106,16406,2,2
1630,2000,500,100,101950700,12251,2106,16406,2,2
1630,2000,500,100,102816542,13197,2106,16406,2,2
1630,2000,500,100,97031145,32942,2106,16406,2,2
