Pallet: "pallet_statistics", Extrinsic: "remove_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
860,7053120,10361,7,8,860,2
860,6627587,7776,7,8,860,2
870,6803876,9397,7,8,870,2
870,7002550,10677,7,8,870,2
870,6763143,12695,7,8,870,2
870,7051045,10500,7,8,870,2
870,7354760,9564,7,8,870,2
880,6942984,11038,7,8,880,2
880,9198694,9918,7,8,880,2
880,7118965,9791,7,8,880,2
880,7268021,10502,7,8,880,2
880,6722300,10190,7,8,880,2
890,7138381,9583,7,8,890,2
890,7358596,11238,7,8,890,2
890,7477819,10250,7,8,890,2
890,7455266,8732,7,8,890,2
890,7325939,8423,7,8,890,2
900,7570969,11070,7,8,900,2
900,7578291,10817,7,8,900,2
900,8058879,11433,7,8,900,2
900,7631166,11557,7,8,900,2
900,8309947,11319,7,8,900,2
910,7550740,12384,7,8,910,2
910,7548590,11271,7,8,910,2
910,7412166,9962,7,8,910,2
910,7467020,9931,7,8,910,2
910,7292429,9934,7,8,910,2
920,7412678,10560,7,8,920,2
920,7288846,8637,7,8,920,2
920,7053217,8911,7,8,920,2
920,7651093,9084,7,8,920,2
920,7678627,9912,7,8,920,2
930,7299887,11345,7,8,930,2
930,7395125,12179,7,8,930,2
930,7113303,9840,7,8,930,2
930,7611756,9696,7,8,930,2
930,7254091,10767,7,8,930,2
940,6921528,10265,7,8,940,2
940,7444523,8944,7,8,940,2
940,7083338,8741,7,8,940,2
940,7021607,11500,7,8,940,2
940,7315543,10570,7,8,940,2
950,7725972,9653,7,8,950,2
950,7934286,10723,7,8,950,2
950,7752567,11160,7,8,950,2
950,8104363,10115,7,8,950,2
950,8046029,9824,7,8,950,2
960,7742982,9730,7,8,960,2
960,7526706,9780,7,8,960,2
960,8993700,11295,7,8,960,2
960,8272389,10323,7,8,960,2
960,9786695,11382,7,8,960,2
970,8644370,10692,7,8,970,2
970,8257753,10448,7,8,970,2
970,8120327,10031,7,8,970,2
970,8326124,11906,7,8,970,2
970,8710933,10205,7,8,970,2
980,8509214,11748,7,8,980,2
980,8414900,10036,7,8,980,2
980,7939616,10461,7,8,980,2
980,8413953,10581,7,8,980,2
980,8076573,10970,7,8,980,2
990,8837217,10384,7,8,990,2
990,8018194,9482,7,8,990,2
990,8216171,10063,7,8,990,2
990,8133462,11025,7,8,990,2
990,11218360,11082,7,8,990,2
1000,8482012,11365,7,8,1000,2
1000,8084142,13545,7,8,1000,2
1000,8061440,10158,7,8,1000,2
1000,8594608,11874,7,8,1000,2
1000,7705942,10693,7,8,1000,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    120.2
    + i    8.067
              µs

Reads = 7 + (0 * i)
Writes = 0 + (1 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    0     110.7     7.106    6.4%
   10     188.4     13.64    7.2%
   20       289      1.18    0.4%
   30     354.9     18.89    5.3%
   40     454.1     1.278    0.2%
   50     533.8      0.24    0.0%
   60     634.8     30.33    4.7%
   70       697     0.371    0.0%
   80     776.4      21.9    2.8%
   90     851.3     20.86    2.4%
  100     903.5     32.01    3.5%
  110      1083     15.13    1.3%
  120      1104     6.828    0.6%
  130      1143     25.95    2.2%
  140      1223      20.8    1.7%
  150      1365     24.66    1.8%
  160      1400     51.63    3.6%
  170      1448     21.48    1.4%
  180      1564     48.22    3.0%
  190      1688     17.11    1.0%
  200      1730     40.64    2.3%
  210      1829     38.32    2.0%
  220      1847     34.49    1.8%
  230      1941     25.03    1.2%
  240      2051     46.27    2.2%
  250      2338     134.7    5.7%
  260      2239     51.27    2.2%
  270      2345     12.13    0.5%
  280      2212     40.06    1.8%
  290      2436     69.07    2.8%
  300      2469     32.79    1.3%
  310      2607     32.03    1.2%
  320      2604     93.06    3.5%
  330      2867      47.7    1.6%
  340      2683     26.51    0.9%
  350      2817     36.08    1.2%
  360      2771     64.81    2.3%
  370      2917     21.92    0.7%
  380      3125     60.43    1.9%
  390      3349      68.6    2.0%
  400      3476     75.94    2.1%
  410      3417     43.51    1.2%
  420      3630     88.35    2.4%
  430      3794     53.78    1.4%
  440      3611     71.48    1.9%
  450      3676     43.24    1.1%
  460      3565       109    3.0%
  470      3702     18.04    0.4%
  480      3927      46.6    1.1%
  490      3923     52.28    1.3%
  500      4034     95.57    2.3%
  510      4100     84.93    2.0%
  520      4564     20.73    0.4%
  530      4542     80.71    1.7%
  540      4613     34.79    0.7%
  550      4684     56.49    1.2%
  560      4568     115.4    2.5%
  570      4646     56.98    1.2%
  580      4740     207.5    4.3%
  590      4946     30.49    0.6%
  600      5033     73.32    1.4%
  610      4912     171.6    3.4%
  620      4871     97.18    1.9%
  630      4959     97.96    1.9%
  640      5635     46.25    0.8%
  650      5699     41.29    0.7%
  660      5293       102    1.9%
  670      5510     151.4    2.7%
  680      5378     35.97    0.6%
  690      5435     27.47    0.5%
  700      5998     110.9    1.8%
  710      6102     67.91    1.1%
  720      5976      72.9    1.2%
  730      5911     59.32    1.0%
  740      5787     83.13    1.4%
  750      6110     124.3    2.0%
  760      5826     103.7    1.7%
  770      6051     48.11    0.7%
  780      8385      2765   32.9%
  790      6500      82.4    1.2%
  800      6675     31.28    0.4%
  810      6603     111.9    1.6%
  820      6848     20.55    0.3%
  830      7158     38.15    0.5%
  840      6751     325.6    4.8%
  850      6739     233.8    3.4%
  860      6801     126.5    1.8%
  870      6952     106.9    1.5%
  880      7109     132.8    1.8%
  890      7379     54.91    0.7%
  900      7756     215.1    2.7%
  910      7475     56.04    0.7%
  920      7450     150.3    2.0%
  930      7316     58.74    0.8%
  940      7140     126.5    1.7%
  950      7910     120.9    1.5%
  960      8336     512.6    6.1%
  970      8409     168.4    2.0%
  980      8301     159.2    1.9%
  990      8395       314    3.7%
 1000      8209     193.1    2.3%

Quality and confidence:
param     error
i         0.078

Model:
Time ~=    84.09
    + i    8.154
              µs

Reads = 7 + (0 * i)
Writes = 0 + (1 * i)
