Pallet: "pallet_portfolio", Extrinsic: "rename_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
  277     161.4     0.851    0.5%
  281     154.2     4.413    2.8%
  285     152.2     7.749    5.0%
  289     144.3      7.34    5.0%
  293     149.1     13.26    8.8%
  297     154.4     11.07    7.1%
  301     159.8     12.54    7.8%
  305     150.8     8.086    5.3%
  309     162.7     1.428    0.8%
  313     161.6     1.183    0.7%
  317     161.6     0.074    0.0%
  321     146.9     9.993    6.7%
  325     162.2     0.159    0.0%
  329     160.8     1.105    0.6%
  333     153.7     9.989    6.4%
  337     153.1     9.087    5.9%
  341     147.2     9.991    6.7%
  345     162.3     0.187    0.1%
  349     155.6     9.588    6.1%
  353     154.8     9.958    6.4%
  357       155      9.37    6.0%
  361     155.6     10.41    6.6%
  365     149.4      9.74    6.5%
  369     147.2     9.919    6.7%
  373     139.8     0.044    0.0%
  377     158.3     13.29    8.3%
  381     145.2     3.906    2.6%
  385     143.7     2.749    1.9%
  389     142.7     1.969    1.3%
  393     146.4     6.094    4.1%
  397     156.5     9.738    6.2%
  401     155.8     10.09    6.4%
  405     156.3     10.56    6.7%
  409     149.7     10.07    6.7%
  413     151.6      12.3    8.1%
  417     155.2     16.81   10.8%
  421       159     13.61    8.5%
  425     142.5      0.22    0.1%
  429     142.6      0.57    0.3%
  433     149.9     9.948    6.6%
  437     141.7     0.163    0.1%
  441     142.5     1.514    1.0%
  445     155.1     9.105    5.8%
  449     157.1     10.88    6.9%
  453     155.7     18.92   12.1%
  457     156.9     10.41    6.6%
  461     162.4     7.601    4.6%
  465     157.6     10.09    6.4%
  469     160.9     11.66    7.2%
  473     157.2     10.22    6.5%
  477       164     0.603    0.3%
  481     144.6      1.71    1.1%
  485     143.4     0.319    0.2%
  489       143     0.653    0.4%
  493     142.8     0.225    0.1%
  497     157.5     10.17    6.4%

Quality and confidence:
param     error
i         0.004

Model:
Time ~=    143.9
    + i    0.023
              µs

Reads = 8 + (0 * i)
Writes = 1 + (0 * i)
