Pallet: "frame_system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
838856     0.243     0.008    3.2%
943713     0.268     0.005    1.8%
1048570     0.245     0.008    3.2%
1153427     0.247     0.007    2.8%
1258284     0.248     0.011    4.4%
1363141      0.26     0.007    2.6%
1467998     0.234     0.006    2.5%
1572855     0.255     0.006    2.3%
1677712     0.241     0.005    2.0%
1782569     0.266     0.004    1.5%
1887426     0.243     0.001    0.4%
1992283     0.246     0.013    5.2%
2097140     0.264     0.009    3.4%
2201997     0.236     0.002    0.8%
2306854     0.247     0.009    3.6%
2411711     0.264     0.015    5.6%
2516568     0.259     0.007    2.7%
2621425     0.261     0.009    3.4%
2726282     0.257     0.005    1.9%
2831139     0.271     0.006    2.2%
2935996     0.263     0.006    2.2%
3040853     0.273     0.005    1.8%
3145710     0.263     0.008    3.0%
3250567     0.262     0.008    3.0%
3355424     0.271     0.012    4.4%
3460281     0.273     0.001    0.3%
3565138     0.293     0.004    1.3%
3669995     0.286     0.006    2.0%
3774852     0.281     0.003    1.0%
3879709     0.285     0.028    9.8%
3984566     0.281     0.002    0.7%
4089423     0.271     0.002    0.7%
4194280     0.278     0.004    1.4%
4299137     0.284     0.001    0.3%
4403994      0.28     0.007    2.5%
4508851     0.277     0.001    0.3%
4613708     0.276     0.004    1.4%
4718565     0.282     0.006    2.1%
4823422     0.271     0.004    1.4%
4928279     0.305     0.038   12.4%
5033136     0.268     0.001    0.3%
5137993     0.302     0.005    1.6%
5242850     0.322     0.006    1.8%
5347707     0.351     0.031    8.8%
5452564      0.41     0.054   13.1%
5557421     0.407     0.005    1.2%
5662278     0.367     0.011    2.9%
5767135     0.424     0.043   10.1%
5871992     0.374      0.05   13.3%
5976849     0.391     0.012    3.0%
6081706     0.355      0.02    5.6%
6186563     0.381     0.019    4.9%
6291420     0.588     0.136   23.1%
6396277     0.614     0.081   13.1%
6501134     0.498      0.01    2.0%
6605991     0.476     0.002    0.4%
6710848     0.467     0.029    6.2%
6815705     0.551     0.007    1.2%
6920562     0.617     0.071   11.5%
7025419     0.608     0.049    8.0%
7130276     0.585     0.029    4.9%
7235133     0.578     0.019    3.2%
7339990     0.574     0.027    4.7%
7444847     0.607     0.002    0.3%
7549704      0.59     0.037    6.2%
7654561     0.748     0.095   12.7%
7759418     0.593      0.03    5.0%
7864275      0.61     0.009    1.4%
7969132     0.578     0.006    1.0%
8073989     0.562     0.005    0.8%
8178846     0.592     0.041    6.9%
8283703     0.551     0.004    0.7%
8388560     0.573     0.017    2.9%
8493417     0.594     0.041    6.9%
8598274      0.66      0.05    7.5%
8703131     0.746     0.072    9.6%
8807988     0.629     0.031    4.9%
8912845     0.853     0.019    2.2%
9017702     0.713      0.05    7.0%
9122559     0.665      0.01    1.5%
9227416     0.668     0.039    5.8%
9332273     0.785     0.083   10.5%
9437130     0.718     0.023    3.2%
9541987     0.858     0.123   14.3%
9646844     0.879     0.133   15.1%
9751701     0.754     0.035    4.6%
9856558     0.843     0.082    9.7%
9961415     0.904      0.06    6.6%
10066272     0.859     0.064    7.4%
10171129     0.912     0.075    8.2%
10275986     0.898     0.071    7.9%
10380843     0.813      0.04    4.9%
10485700     0.806      0.13   16.1%

Quality and confidence:
param     error
b             0

Model:
Time ~=    0.101
    + b        0
              µs

Reads = 0 + (0 * b)
Writes = 0 + (0 * b)
