Pallet: "frame_system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
757,264695,2145,0,0,757,0
757,262172,2213,0,0,757,0
766,268287,2150,0,0,766,0
766,266358,2174,0,0,766,0
766,264936,2360,0,0,766,0
766,265600,2082,0,0,766,0
766,265897,2331,0,0,766,0
775,278584,2226,0,0,775,0
775,278423,2343,0,0,775,0
775,280141,2237,0,0,775,0
775,279697,2129,0,0,775,0
775,278405,2404,0,0,775,0
784,280789,2123,0,0,784,0
784,280139,2322,0,0,784,0
784,279897,2194,0,0,784,0
784,280142,2338,0,0,784,0
784,280202,2334,0,0,784,0
793,285626,2357,0,0,793,0
793,284081,2225,0,0,793,0
793,284362,2175,0,0,793,0
793,285319,2284,0,0,793,0
793,285652,2275,0,0,793,0
802,292693,2287,0,0,802,0
802,289696,2410,0,0,802,0
802,291091,2275,0,0,802,0
802,289029,2250,0,0,802,0
802,289262,2302,0,0,802,0
811,294713,2296,0,0,811,0
811,293222,2283,0,0,811,0
811,294148,2252,0,0,811,0
811,294104,2292,0,0,811,0
811,294959,2293,0,0,811,0
820,295726,2326,0,0,820,0
820,294218,2391,0,0,820,0
820,293928,2302,0,0,820,0
820,294348,2228,0,0,820,0
820,291513,2158,0,0,820,0
829,298871,2335,0,0,829,0
829,298367,2209,0,0,829,0
829,298650,2182,0,0,829,0
829,299222,2200,0,0,829,0
829,299624,2363,0,0,829,0
838,303428,2288,0,0,838,0
838,300406,2263,0,0,838,0
838,301089,2345,0,0,838,0
838,300896,2296,0,0,838,0
838,300237,2218,0,0,838,0
847,308537,2280,0,0,847,0
847,306355,2284,0,0,847,0
847,305878,2174,0,0,847,0
847,308252,2275,0,0,847,0
847,307407,2255,0,0,847,0
856,314877,2350,0,0,856,0
856,312202,2352,0,0,856,0
856,312866,2215,0,0,856,0
856,312876,2267,0,0,856,0
856,310002,2277,0,0,856,0
865,305092,2260,0,0,865,0
865,303502,2358,0,0,865,0
865,305077,2088,0,0,865,0
865,304403,2407,0,0,865,0
865,302034,2247,0,0,865,0
874,318685,2274,0,0,874,0
874,313461,2252,0,0,874,0
874,314028,2276,0,0,874,0
874,312452,2266,0,0,874,0
874,314431,2187,0,0,874,0
883,320145,2199,0,0,883,0
883,318841,2270,0,0,883,0
883,319266,2195,0,0,883,0
883,317959,2255,0,0,883,0
883,319170,2287,0,0,883,0
892,315792,2429,0,0,892,0
892,317545,2247,0,0,892,0
892,316074,2282,0,0,892,0
892,315767,2096,0,0,892,0
892,315076,2305,0,0,892,0
901,319435,2238,0,0,901,0
901,320303,2373,0,0,901,0
901,319284,2309,0,0,901,0
901,319054,2262,0,0,901,0
901,320825,2248,0,0,901,0
910,321039,2155,0,0,910,0
910,321888,2342,0,0,910,0
910,320057,2339,0,0,910,0
910,323268,2189,0,0,910,0
910,319380,2326,0,0,910,0
919,322939,2458,0,0,919,0
919,323798,2297,0,0,919,0
919,325778,2269,0,0,919,0
919,322117,2241,0,0,919,0
919,322070,2230,0,0,919,0
928,328447,2185,0,0,928,0
928,328135,2234,0,0,928,0
928,329196,2416,0,0,928,0
928,328718,2408,0,0,928,0
928,330573,2158,0,0,928,0
937,332213,2215,0,0,937,0
937,331830,2296,0,0,937,0
937,330207,2187,0,0,937,0
937,329566,2225,0,0,937,0
937,331798,2301,0,0,937,0
946,363047,2311,0,0,946,0
946,331575,2213,0,0,946,0
946,334898,2268,0,0,946,0
946,333153,2266,0,0,946,0
946,332003,2272,0,0,946,0
955,337505,2378,0,0,955,0
955,337457,2345,0,0,955,0
955,336614,2304,0,0,955,0
955,341473,2220,0,0,955,0
955,337915,2261,0,0,955,0
964,342752,2307,0,0,964,0
964,337994,2353,0,0,964,0
964,339342,2348,0,0,964,0
964,340969,2290,0,0,964,0
964,339679,2255,0,0,964,0
973,343114,2185,0,0,973,0
973,343908,2401,0,0,973,0
973,343324,2201,0,0,973,0
973,343746,2380,0,0,973,0
973,343012,2273,0,0,973,0
982,348352,2179,0,0,982,0
982,348744,2345,0,0,982,0
982,347344,2220,0,0,982,0
982,348592,2272,0,0,982,0
982,346808,2195,0,0,982,0
991,350833,2287,0,0,991,0
991,349793,2204,0,0,991,0
991,350358,2322,0,0,991,0
991,352566,2273,0,0,991,0
991,349559,2314,0,0,991,0
1000,355291,2348,0,0,1000,0
1000,354323,2280,0,0,1000,0
1000,356227,2073,0,0,1000,0
1000,357647,2210,0,0,1000,0
1000,356087,2258,0,0,1000,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + i    0.358
              µs

Reads = 0 + (0 * i)
Writes = 0 + (1 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    1     0.804     0.041    5.0%
   10     3.383     0.007    0.2%
   19     6.422     0.025    0.3%
   28     9.429      0.05    0.5%
   37     12.18     0.075    0.6%
   46     15.83     0.068    0.4%
