Pallet: "pallet_protocol_fee", Extrinsic: "change_base_fee", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
4252017528,41238,3772,1,4,1,2
4294967200,39255,3877,1,4,1,2
4294967200,39583,3721,1,4,1,2
4294967200,39283,3768,1,4,1,2
4294967200,39429,3688,1,4,1,2
4294967200,39536,3666,1,4,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    34.02
    + b        0
              µs

Reads = 1 + (0 * b)
Writes = 1 + (0 * b)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    b   mean µs  sigma µs       %
    0     34.31     0.034    0.0%
42949672      34.3     0.089    0.2%
85899344     39.46     0.183    0.4%
128849016     39.29     0.265    0.6%
171798688     33.85     0.083    0.2%
214748360     33.71     0.045    0.1%
257698032     33.67     0.025    0.0%
300647704     33.91      0.04    0.1%
343597376     33.76     0.127    0.3%
386547048     35.82      2.83    7.8%
429496720     39.51     0.103    0.2%
472446392     33.96      0.14    0.4%
515396064     33.77     0.087    0.2%
558345736     33.97      0.09    0.2%
601295408     42.03      3.89    9.2%
644245080      33.9      0.16    0.4%
687194752     32.98     0.023    0.0%
730144424     33.94     0.033    0.0%
773094096     35.05     1.062    3.0%
816043768     34.24     0.075    0.2%
858993440        34     0.059    0.1%
901943112     34.25     0.064    0.1%
944892784      34.3     0.024    0.0%
987842456     33.95     0.099    0.2%
1030792128     33.93     0.074    0.2%
1073741800      39.3     0.136    0.3%
1116691472     35.83     2.756    7.6%
1159641144     37.62     2.463    6.5%
1202590816     33.84     0.104    0.3%
1245540488     34.06     0.103    0.3%
1288490160     39.49     0.037    0.0%
1331439832     35.52     2.328    6.5%
1374389504     33.89     0.067    0.1%
1417339176     33.97      0.13    0.3%
1460288848     33.77     0.027    0.0%
1503238520      38.1     5.247   13.7%
1546188192     34.19     0.192    0.5%
1589137864     34.11     0.017    0.0%
1632087536     34.15     0.116    0.3%
1675037208     34.07       0.1    0.2%
1717986880      37.8     2.456    6.4%
1760936552     39.69     0.379    0.9%
1803886224     39.64     0.107    0.2%
1846835896     34.04     0.041    0.1%
1889785568     34.07      0.09    0.2%
1932735240     34.19     0.025    0.0%
1975684912     33.64     0.214    0.6%
2018634584     39.63     0.107    0.2%
2061584256     39.62     0.099    0.2%
2104533928     33.12     0.035    0.1%
2147483600     34.05     0.092    0.2%
2190433272     34.16     0.174    0.5%
2233382944     34.18     0.038    0.1%
2276332616     39.64     0.028    0.0%
2319282288     37.62     2.423    6.4%
2362231960     34.06      0.16    0.4%
2405181632     33.98     0.084    0.2%
2448131304     33.86     0.038    0.1%
2491080976     33.92     0.044    0.1%
2534030648     33.99     0.074    0.2%
2576980320     33.87     0.066    0.1%
2619929992     34.04     0.333    0.9%
2662879664     34.16      0.12    0.3%
2705829336     33.84     0.058    0.1%
2748779008     33.94     0.158    0.4%
2791728680      39.6     0.071    0.1%
2834678352      35.9     2.352    6.5%
2877628024     33.98     0.278    0.8%
2920577696     34.27     0.124    0.3%
2963527368      34.1     0.173    0.5%
3006477040        34     0.133    0.3%
3049426712     34.24     0.048    0.1%
3092376384     34.06     0.054    0.1%
3135326056     34.39     0.337    0.9%
3178275728     33.07     0.084    0.2%
3221225400     33.02     0.099    0.2%
3264175072     34.04     0.098    0.2%
3307124744     33.86     0.086    0.2%
3350074416     34.05      0.05    0.1%
3393024088     33.99      0.09    0.2%
3435973760      33.3     0.235    0.7%
3478923432     33.49     0.466    1.3%
3521873104     33.93     0.158    0.4%
3564822776        34      0.07    0.2%
3607772448     34.05     0.088    0.2%
3650722120     34.08     0.052    0.1%
3693671792     34.08     0.061    0.1%
3736621464     34.03     0.123    0.3%
3779571136     33.86     0.042    0.1%
3822520808     37.86     2.608    6.8%
3865470480     34.22     0.071    0.2%
3908420152     37.81     2.687    7.1%
3951369824     39.43     0.116    0.2%
3994319496     37.76     2.575    6.8%
4037269168     34.07      0.27    0.7%
4080218840     39.39     0.098    0.2%
4123168512     39.55     0.026    0.0%
4166118184     43.34     5.269   12.1%
4209067856     37.56     2.496    6.6%
4252017528     39.69     0.271    0.6%
4294967200     39.41     0.103    0.2%

Quality and confidence:
param     error
b             0

Model:
Time ~=    34.95
    + b        0
              µs

Reads = 1 + (0 * b)
Writes = 1 + (0 * b)
