Pallet: "pallet_timestamp", Extrinsic: "on_finalize", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   61     7.256     0.094    1.2%
   62     7.304     0.066    0.9%
   63     7.152     0.028    0.3%
   64     8.102     0.383    4.7%
   65     8.638      0.01    0.1%
   66     8.055     0.038    0.4%
   67     7.925     0.072    0.9%
   68     7.698     0.056    0.7%
   69     7.131     0.038    0.5%
   70     7.157     0.057    0.7%
   71     7.142     0.043    0.6%
   72     8.772     0.032    0.3%
   73     8.683     0.042    0.4%
   74     7.939     0.074    0.9%
   75     7.906     0.047    0.5%
   76     7.793     0.008    0.1%
   77     7.258     0.045    0.6%
   78     7.136     0.026    0.3%
   79     8.179     0.468    5.7%
   80     8.897     0.066    0.7%
   81     8.311     0.717    8.6%
   82       7.2     0.038    0.5%
   83     7.106     0.017    0.2%
   84     7.869     0.035    0.4%
   85     8.151     0.355    4.3%
   86      7.77     0.088    1.1%
   87     8.471     0.096    1.1%
   88     8.573     0.074    0.8%
   89     7.072     0.067    0.9%
   90     7.206     0.068    0.9%
   91      7.49     0.366    4.8%
   92     8.416     0.369    4.3%
   93     8.658      0.01    0.1%
   94     7.927     0.192    2.4%
   95      8.72     0.012    0.1%
   96      8.84     0.053    0.5%
   97     8.799     0.021    0.2%
   98     7.643     0.233    3.0%
   99     7.823     0.043    0.5%
  100     7.736     0.019    0.2%

Quality and confidence:
param     error
t         0.001

Model:
Time ~=    8.108
    + t        0
              µs

Reads = 0 + (0 * t)
Writes = 0 + (0 * t)
